"filename", "language", "C#", "JSON", "Shell Script", "MS SQL", "XML", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Admin\api\Controllers\FoodCategoryController.cs", "C#", 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\ASUS\Desktop\Admin\api\Controllers\LoginController.cs", "C#", 56, 0, 0, 0, 0, 0, 5, 61
"c:\Users\ASUS\Desktop\Admin\api\Controllers\OwnersController.cs", "C#", 54, 0, 0, 0, 0, 0, 2, 56
"c:\Users\ASUS\Desktop\Admin\api\Controllers\RegisterController.cs", "C#", 54, 0, 0, 0, 0, 1, 7, 62
"c:\Users\ASUS\Desktop\Admin\api\Controllers\ReservationsController.cs", "C#", 61, 0, 0, 0, 0, 0, 8, 69
"c:\Users\ASUS\Desktop\Admin\api\Controllers\RestaurantController.cs", "C#", 48, 0, 0, 0, 0, 0, 1, 49
"c:\Users\ASUS\Desktop\Admin\api\Controllers\ReviewController.cs", "C#", 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\ASUS\Desktop\Admin\api\Controllers\UserController.cs", "C#", 45, 0, 0, 0, 0, 0, 8, 53
"c:\Users\ASUS\Desktop\Admin\api\Controllers\UserEFController .cs", "C#", 0, 0, 0, 0, 0, 19, 6, 25
"c:\Users\ASUS\Desktop\Admin\api\DapperContext\DapperContext.cs", "C#", 113, 0, 0, 0, 0, 0, 16, 129
"c:\Users\ASUS\Desktop\Admin\api\DataContext\DataContext.cs", "C#", 37, 0, 0, 0, 0, 1, 9, 47
"c:\Users\ASUS\Desktop\Admin\api\Dto\FoodCategoryDto.cs", "C#", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ASUS\Desktop\Admin\api\Dto\LoginDto.cs", "C#", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ASUS\Desktop\Admin\api\Dto\RegisterAgentDto.cs", "C#", 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\ASUS\Desktop\Admin\api\Dto\ReservationsCount.cs", "C#", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ASUS\Desktop\Admin\api\Dto\RestaurantsUpdateDto.cs", "C#", 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\ASUS\Desktop\Admin\api\Middleware\JwtMiddleware.cs", "C#", 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\ASUS\Desktop\Admin\api\Middleware\RestaurantMiddlewareAttribute.cs", "C#", 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\ASUS\Desktop\Admin\api\Middleware\RestaurantMiddlewareOwnerAttribute.cs", "C#", 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\ASUS\Desktop\Admin\api\Middleware\TestMiddlewareAttribute.cs", "C#", 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\ASUS\Desktop\Admin\api\Models\Food_Category.cs", "C#", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\ASUS\Desktop\Admin\api\Models\Reservations.cs", "C#", 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\ASUS\Desktop\Admin\api\Models\RestaurantModel.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\ASUS\Desktop\Admin\api\Models\Restaurants.cs", "C#", 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ASUS\Desktop\Admin\api\Models\Reviews.cs", "C#", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ASUS\Desktop\Admin\api\Models\Users.cs", "C#", 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\ASUS\Desktop\Admin\api\Models\UsersModels.cs", "C#", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\ASUS\Desktop\Admin\api\Program.cs", "C#", 47, 0, 0, 0, 0, 3, 7, 57
"c:\Users\ASUS\Desktop\Admin\api\Properties\launchSettings.json", "JSON", 0, 41, 0, 0, 0, 0, 1, 42
"c:\Users\ASUS\Desktop\Admin\api\Seeders\ReservationsSedder.cs", "C#", 34, 0, 0, 0, 0, 0, 9, 43
"c:\Users\ASUS\Desktop\Admin\api\Seeders\ReviewsSeeders.cs", "C#", 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\ASUS\Desktop\Admin\api\Seeders\UsersSeeder.cs", "C#", 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\ASUS\Desktop\Admin\api\Services\Claim.cs", "C#", 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\ASUS\Desktop\Admin\api\Services\Jwt.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 32
"c:\Users\ASUS\Desktop\Admin\api\api.csproj", "XML", 0, 0, 0, 0, 21, 0, 4, 25
"c:\Users\ASUS\Desktop\Admin\api\api.sql", "MS SQL", 0, 0, 0, 415, 0, 307, 153, 875
"c:\Users\ASUS\Desktop\Admin\api\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\ASUS\Desktop\Admin\api\appsettings.json", "JSON", 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\ASUS\Desktop\Admin\api\create_controller.sh", "Shell Script", 0, 0, 28, 0, 0, 8, 10, 46
"Total", "-", 1062, 65, 28, 415, 21, 339, 306, 2236